Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-03-20,21380.970703125,21384.859375,21427.934919400734,21223.970703125,21115.43750921717,0,-0.0046520250866026736,-0.0046520250866026736
2018-03-22,21591.990234375,21592.0,21476.25996593061,21349.7109375,21187.839457929458,-1,0.009869501912705747,0.0
2018-03-23,20617.859375,21188.80078125,21267.628119883062,20559.609375,20980.014724136585,1,-0.04511538069446508,0.04511538069446508
2018-03-26,20766.099609375,20766.099609375,20630.19345685242,20347.490234375,20224.866225582136,-1,0.007189894531667296,0.007189894531667296
2018-03-27,21317.3203125,21317.3203125,21090.832156543067,20943.310546875,20793.260897372562,-1,0.026544257876724542,-0.026544257876724542
2018-03-28,21031.310546875,21031.310546875,20984.91954729634,20776.8203125,20678.08990829568,-1,-0.013416778536526008,0.013416778536526008
2018-03-29,21159.080078125,21298.5703125,21401.384556453537,20996.220703125,21118.214441332384,1,0.006075205392703564,-0.006075205392703564
2018-03-30,21454.30078125,21512.80078125,21560.384286982375,21311.5,21279.029530266434,0,0.013952435646302552,0.013952435646302552
2018-04-02,21388.580078125,21597.470703125,21567.93971201309,21388.580078125,21306.8082171207,-1,-0.003063288046303403,-0.0
2018-04-03,21292.2890625,21333.5,21233.456855982888,21056.01953125,20939.288242914885,-1,-0.004501982612837407,0.004501982612837407
2018-04-04,21319.55078125,21415.849609375,21523.32078614976,21238.1796875,21283.86347984153,1,0.0012803564083680996,-0.0012803564083680996
2018-04-05,21645.419921875,21737.66015625,21681.653056234365,21462.099609375,21444.567554901943,-1,0.015284990944161692,0.015284990944161692
2018-04-06,21567.51953125,21742.83984375,21725.95475579257,21550.419921875,21516.083901372684,-1,-0.003598931825123608,0.003598931825123608
2018-04-09,21678.259765625,21737.08984375,21654.712853895166,21517.76953125,21403.75491669475,-1,0.005134583706510432,-0.005134583706510432
2018-04-10,21794.3203125,21933.990234375,21692.772074780976,21542.369140625,21451.94050803511,-1,0.005353776000924126,-0.005353776000924126
2018-04-11,21687.099609375,21837.359375,21909.04760055932,21687.099609375,21691.39210363524,1,-0.004919662627125065,0.004919662627125065
